"ind","PH","FT","Sub-population"
"BCC921",61.3999999456577,71.1170773575938,"BCC"
"BCC927",78.9999999456577,66.5089672633696,"BCC"
"BCC93",63.7999999456577,60.7756136480656,"BCC"
"BCC942",64.7999999456577,64.061223204276,"BCC"
"CM67",48.631493663012,59.590457469953,"BCC"
"FAO3413",56.2895330044989,80.9131722939903,"BCC"
"Georgie",62.6733549806231,73.492511648424,"BCC"
"GoldenPromise",60.9999999456577,74.7346466276994,"BCC"
"HOR11370",76.7999999456577,69.7542017207889,"BCC"
"HOR11371",69.5999999456577,71.0917894848423,"BCC"
"HOR11372",61.3999999456578,74.4146466276994,"BCC"
"HOR11373",63.3999999456577,71.9640394489837,"BCC"
"HOR12830",55.6048223961677,73.0221946649323,"BCC"
"HOR1391",91.1999999456577,73.1176397826566,"BCC"
"HOR1804",60.3999999456577,72.308092955383,"BCC"
"HOR1842",63.0104192871076,77.3152732152117,"BCC"
"HOR1962",84.7999999456577,71.3892090113121,"BCC"
"HOR2828",69.7999999456577,78.6154566760925,"BCC"
"HOR2829",57.7999999456577,66.2345369317965,"BCC"
"HOR2835",55.9999999456577,62.0664981437829,"BCC"
"HOR383",75.2068853797549,71.7185148580373,"BCC"
"HOR4727",58.3999999456577,68.2013132943661,"BCC"
"HOR7985",65.4445236626122,64.5475699951443,"BCC"
"HOR8006",61.3999999456577,67.9734694278718,"BCC"
"HOR8050",65.9999999456577,67.2271705693453,"BCC"
"HOR8113",62.1999999456577,67.9004926509541,"BCC"
"HOR8160",69.0262227534636,69.3353596803402,"BCC"
"HOR930",69.6441804854669,67.5805777223744,"BCC"
"Hv-2011S-3-00035",76.7815921719368,73.1328314631405,"HvDRR19"
"Hv-2011S-3-00075",65.0315921719368,76.0731863127231,"HvDRR03"
"Hv-2011S-3-00114",80.7815921719368,72.7528243446361,"HvDRR19"
"Hv-2011S-3-00140",79.0315921719368,69.0627862488507,"HvDRR19"
"Hv-2011S-3-00168",67.3999999456577,78.6154566760925,"HvDRR02"
"Hv-2011S-3-00182",62.0315921719367,75.8291670479632,"HvDRR04"
"Hv-2011S-3-00183",66.8394352648014,70.0408881414212,"HvDRR03"
"Hv-2011S-3-00184",58.7815921719367,75.0791670479632,"HvDRR03"
"Hv-2011S-3-00185",66.8394352648014,88.0408881414211,"HvDRR03"
"Hv-2011S-3-00186",67.1240248923283,74.7404563239687,"HvDRR03"
"Hv-2011S-3-00187",62.5315921719368,69.5791670479632,"HvDRR03"
"Hv-2011S-3-00188",81.8394352648015,65.0408881414212,"HvDRR03"
"Hv-2011S-3-00189",54.7955793145169,69.3906722326949,"HvDRR03"
